Fecha,Hora,Producto,ISIN,Bolsa,Número,,Precio,,Valor local,,Valor,Tipo de cambio,,Comisión,,Total,ID Orden
04-06-2020,09:00,INDITEX,ES0148396007,MAD,100,EUR,26.5100,EUR,-2651.00,EUR,-2651.00,,EUR,-3.33,EUR,-2654.33,88c1e3ab-ea98-4f05-8fbd-8c1bdc1f70bf
03-06-2020,15:49,INDITEX,ES0148396007,MAD,-100,EUR,26.4500,EUR,2645.00,EUR,2645.00,,EUR,-3.32,EUR,2641.68,64bc99bb-22a5-4c7a-bf18-a980ccc90c31
03-06-2020,11:19,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-300,EUR,8.3800,EUR,2514.00,EUR,2514.00,,EUR,-3.26,EUR,2510.74,d166d07e-6703-47ee-9914-418b2fc29419
02-06-2020,17:29,ACCIONA,ES0125220311,MAD,-30,EUR,93.0000,EUR,2790.00,EUR,2790.00,,EUR,-3.40,EUR,2786.60,6c517b9b-85e1-4b71-b961-4c94f6556494
02-06-2020,15:42,PHARMA MAR SA,ES0169501030,MAD,-500,EUR,5.9800,EUR,2990.00,EUR,2990.00,,EUR,-3.50,EUR,2986.50,159a2a9b-22d5-4ef4-ba4f-b1b3c5f246ad
02-06-2020,15:31,PHARMA MAR SA,ES0169501030,MAD,500,EUR,6.0200,EUR,-3010.00,EUR,-3010.00,,EUR,-3.51,EUR,-3013.51,7a21b253-b4d2-48b6-b39a-7f479e9192d9
02-06-2020,09:05,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,104,EUR,7.8300,EUR,-814.32,EUR,-814.32,,EUR,-0.41,EUR,-814.73,537ecf73-0a58-478e-973d-ff56cda0dcbf
02-06-2020,09:05,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,196,EUR,7.8300,EUR,-1534.68,EUR,-1534.68,,EUR,-2.77,EUR,-1537.45,537ecf73-0a58-478e-973d-ff56cda0dcbf
01-06-2020,16:49,MERLIN PROPERTIES SOCIMI SA,ES0105025003,MAD,-300,EUR,7.8100,EUR,2343.00,EUR,2343.00,,EUR,-3.17,EUR,2339.83,39cfab41-4711-4436-86dc-b3319e39bf99
01-06-2020,15:57,ACCIONA,ES0125220311,MAD,30,EUR,88.9000,EUR,-2667.00,EUR,-2667.00,,EUR,-3.33,EUR,-2670.33,6969d033-4cc6-439e-99d4-3c0df1c9e6a2
01-06-2020,10:24,INDITEX,ES0148396007,MAD,100,EUR,25.0500,EUR,-2505.00,EUR,-2505.00,,EUR,-3.25,EUR,-2508.25,5a8d9ffc-9211-4ea3-9cae-3d0f287d1345
